# 2025/08/31 23:14:35
#
# ---------------------------------------------------------------------------
#    CDFS017345 - stellar continuum SED - ficus.py
# ---------------------------------------------------------------------------
# 
### inputs ### 
# spec_name   --> CDFS017345
# z_spec      --> 3.6052
# ssp_models  --> sb99
# neb_mode    --> off
# Zarray      --> ['0001', '0002', '0008', '0014']
# att_law     --> r16
# wave_range  --> [1200. 1920.]
# wave_norm   --> [1350. 1370.]
# r_obs       --> 600.0
# nsim        --> 100
# plot_mode   --> yes
# 
# wave(A)        Flux.SED         Flux.SEDerr      Flux.SEDINT      Flux.SEDINTerr 
   +3.39014e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +3.49313e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +3.59924e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +3.70858e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +3.82125e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +3.93733e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +4.05694e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +4.18018e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +4.30717e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +4.43802e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +4.57284e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +4.71175e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +4.85489e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +5.00237e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +5.15434e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +5.31092e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +5.47226e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +5.63850e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +5.80979e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +5.98628e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +6.16813e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +6.35551e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +6.54858e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +6.74752e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +6.95250e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +7.16371e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +7.38133e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +7.60556e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +7.83661e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +8.07467e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +8.31997e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +8.57272e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +8.83314e-02     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
